Province,District,Station,Value,Dates
Southern,NYARUGURU,AGASE,4,11/07/1991
Western,NYABIHU,BIGOGWE,3.6,9/23/2019
Western,NYAMASHEKE,BIGUTU,1.6,3/26/1990
Western,RUSIZI,BUGARAMA RIZ,7.8,3/23/2018
Western,RUSIZI,BUGARAMA RIZ,7.8,04/08/2015
Eastern,KIREHE,BUKORA,3,12/15/2005
Eastern,KIREHE,BUKORA,3,3/28/2005
Eastern,KIREHE,BUKORA,3,3/25/2005
Northern,BURERA,BUNGWE,1.5,10/23/2004
Northern,BURERA,BUNGWE,1.5,10/26/2004
Northern,BURERA,BUNGWE,1.5,10/15/2004
Northern,BURERA,BUNGWE,1.5,10/12/2004
Southern,NYANZA,BUSASAMANA-NYANZA,9.5,7/25/2013
Western,RUBAVU,BUSASAMANA-RUBAVU,11,06/04/2012
Northern,MUSANZE,BUSOGO-ISAE,3.5,7/20/2009
Southern,NYANZA,BUSORO,4.5,07/08/2005
Kigali City,NYARUGENGE,BUTAMWA,5.8,01/12/2018
Southern,HUYE,BUTARE AERO,5.2,6/29/1960
Southern,HUYE,BUTARE MISSION,5.2,8/28/1952
Northern,BURERA,BUTARO,15,01/09/2021
Northern,BURERA,BUTARO,15,01/03/2021
Northern,BURERA,BUTARO,15,01/02/2021
Southern,RUHANGO,BYIMANA,4.7,7/31/1973
Northern,GICUMBI,BYUMBA MET,1,12/28/1968
Northern,GICUMBI,BYUMBA MET,1,12/24/1968
Northern,GICUMBI,BYUMBA MET,1,12/19/1968
Northern,GICUMBI,BYUMBA MET,1,12/15/1968
Southern,NYAMAGABE,CYANIKA,5.4,03/12/2019
Northern,GAKENKE,CYATA,2.6,09/10/1986
Western,NYAMASHEKE,CYATO,8.6,11/18/2021
Southern,RUHANGO,CYERU,0,5/31/1980
Southern,GISAGARA,CYILI_Rice Cooperative,1.2,7/30/1986
Northern,RULINDO,CYINZUZI,5.2,11/07/2019
Eastern,KIREHE,GAHARA,1,4/24/2012
