Province,District,Station_name,Value_mm,Date
Eastern,Bugesera,Juru,77.8,08/01/2021
Eastern,Bugesera,Karama Isar,103.4,09/05/1979
Eastern,Bugesera,Karama Kilimbi,103.4,09/05/1979
Eastern,Bugesera,Nyamata,104.9,10/10/1991
Eastern,Bugesera,Ruhuha,110.2,20/03/1979
Eastern,Gatsibo,Gabiro,113,26/02/1973
Eastern,Gatsibo,Gasange,96,17/12/2012
Eastern,Gatsibo,Kabarore,66,16/12/2018
Eastern,Gatsibo,Kiziguro,137,02/03/1978
Eastern,Gatsibo,Muhura,75,25/12/2019
Eastern,Gatsibo,Ngarama,86.2,13/01/2016
Eastern,Gatsibo,Nyagahanga,88,11/11/2008
Eastern,Gatsibo,Rwimbogo,94,09/01/2021
Eastern,Kayonza,Akagera,51.5,19/12/1991
Eastern,Kayonza,Gahini,96.2,01/10/2016
Eastern,Kayonza,Kabarondo,88.7,29/04/2012
Eastern,Kayonza,Kawangire,137.2,17/04/2020
Eastern,Kayonza,Kayonza,44.5,23/04/2022
Eastern,Kayonza,Murundi,99.2,06/02/2022
Eastern,Kayonza,Mwiri,96.5,30/10/2017
Eastern,Kayonza,Ndego,83.4,17/11/2019
Eastern,Kayonza,Rukara,90,28/01/2005
Eastern,Kayonza,Rwinkwavu,80.3,17/06/1991
Eastern,Kirehe,Gahara,80.5,21/10/2021
Eastern,Kirehe,Kirehe,81.2,02/12/2020
Eastern,Kirehe,Mpanga,84.6,11/04/2013
Eastern,Kirehe,Musaza,67.5,05/03/2018
Eastern,Kirehe,Nyamugali,80.5,22/10/2014
Eastern,Kirehe,Nyarubuye,116.3,10/09/1945
Eastern,Kirehe,Rusumo-Bgm,59.2,19/11/1972
Eastern,Ngoma,Bare,68.2,10/09/1992
Eastern,Ngoma,Gahororo,90.4,05/04/1960
Eastern,Ngoma,Jarama,63.4,09/01/2021
Eastern,Ngoma,Kibungo Kazo,136.9,11/04/1941
Eastern,Ngoma,Mutenderi,113.4,01/10/2020
Eastern,Ngoma,Rukira,92.1,14/09/1970
Eastern,Ngoma,Rukumberi,115,09/05/1979
Eastern,Ngoma,Sake,84.3,10/05/2021
Eastern,Ngoma,Zaza,115.9,23/04/1965
Eastern,Nyagatare,Garden Fresh,42,13/10/2019
Eastern,Nyagatare,Gatunda,90.2,27/11/2011
Eastern,Nyagatare,Kagitumba,112,15/09/1951
Eastern,Nyagatare,Nyagatare,82.4,05/03/2020
