District,STN Name,Element,Value,Date(s)
Nyarugenge,Gitega,Rainfall ,140,25/12/2019
,Butamwa,,75.6,03/03/2020
,Muhima,,80,30/09/1987
,Kabusunzu,,75,10/11/1987
,College St Andre,,93,18/04/1988
,Rugunga,,92.6,26/04/1985
,,,,
Gasabo,Rubungo,,82.4,12/10/2019
,Kabuye Sugar,,92.5,07/12/2010
,Masaka,,143.4,24/04/1974
,Rubirizi,,147,04/12/1993
,,,,
Rwamagana,Ruhunda,,83.6,20/02/1978
,Gishari,,59.9,01/03/2020
,Rwamagana,,90,08/07/1939
,Musha,,87,24/12/2012
,Mwurire,,98.2,18/12/2011
,Nzige,,83,06/05/1993
,Murehe,,76,26/01/1980
,,,,
Nyagatare,Gatunda,,90.2,27/11/2011
,Nyakiga,,73.9,21/04/2018
,Kagitumba,,112,15/09/1951
,Nyagatare,,82.4,05/03/2020
,Rwempasha,,73.8,22/10/2010
,Garden fresh,,42,13/10/2019
,,,,
Gatsibo,Gasange,,96,17/12/2012
,Muhura,,75,25/12/2019
,Kabarore,,66,16/12/2018
,Kiziguro,,137,02/03/1978
,Ngarama,,86.2,13/01/2016
,Nyagahanga,,88,11/11/2008
,Gabiro,,113,26/02/1973
,Rwimbogo,,94,09/01/2021
,,,,
Kirehe,Gahara,,80.5,21/10/2021
,Rusumo-BGM,,59.2,19/11/1972
,Kirehe,,81.2,02/12/2020
,Mpanga,,84.6,11/04/2013
,Musaza,,67.5,05/03/2018
,Nyamugali,,80.5,22/10/2014
,Nyarubuye,,116.3,10/09/1945
,,,,
Ngoma,Gahororo,,90.4,05/04/1960
,Jarama,,63.4,09/01/2021
,Bare,,68.2,10/09/1992
,Mutenderi,,113.4,01/10/2020
,Rukira,,92.1,14/09/1970
,Rukumberi,,115,09/05/1979
,Sake,,84.3,10/05/2021
,Kibungo kazo,,136.9,11/04/1941
,Zaza,,115.9,23/04/1965
,,,,
Bugesera,Karama Kilimbi,,103.4,09/05/1979
,Karama ISAR,,103.4,09/05/1979
,Nyamata,,104.9,10/10/1991
,Ruhuha,,110.2,20/03/1979
,Juru,,77.8,08/01/2021
,,,,
Kayonza,Gahini,,96.2,01/10/2016
,Kabarondo,,88.7,29/04/2012
,Murundi,,99.2,06/02/2022
,Kayonza,,44.5,23/04/2022
,Mwiri,,96.5,30/10/2017
,Kawangire,,137.2,17/04/2020
,Rukara,,90,28/01/2005
,Rwinkwavu,,80.3,17/06/1991
,Akagera,,51.5,19/12/1991
,Ndego,,83.4,17/11/2019
